measure,month,21245040,26115040,13085010,21185020,13075030,35215010
t_max,1,28.88639,31.21029,32.22629,33.11152,7.437143,32.97778
t_max,2,29.07444,31.58943,32.30371,33.34121,13.131429,33.81333
t_max,3,28.78028,31.35886,32.35714,32.90788,22.274286,33.53944
t_max,4,28.33972,30.42429,32.28771,32.0897,94.768571,31.67556
t_max,5,28.285,29.86286,31.92686,31.92424,179.754286,30.64611
t_max,6,28.98194,30.22571,32.09971,32.23606,152.482857,29.87917
t_max,7,29.97917,31.02886,32.36,33.51758,174.265714,29.7775
t_max,8,30.91361,31.91571,31.83457,34.8003,158.205714,30.43167
t_max,9,30.19167,31.16429,31.40086,33.87485,187.908571,31.01472
t_max,10,28.35,29.91657,31.23257,32.09273,149.957143,31.34944
t_max,11,27.5775,29.56629,31.41629,31.48091,105.454286,31.35639
t_max,12,28.08417,29.91257,32.00257,31.97848,42.614286,32.08722
t_min,1,19.02722,18.77571,23.722,22.8003,33.29457,23.19639
t_min,2,19.34694,18.87457,23.93829,22.95061,33.74543,23.86556
t_min,3,19.43306,19.17943,24.57886,23.07273,33.96771,23.81444
t_min,4,19.41333,19.40571,24.94457,22.7197,33.49714,23.04694
t_min,5,19.43306,19.27771,24.78686,22.58576,32.53686,22.43333
t_min,6,19.24139,18.83657,24.59314,22.08061,32.22371,21.86889
t_min,7,19.12167,18.43571,24.39343,21.93879,32.42629,21.64306
t_min,8,19.39417,18.42657,24.21143,22.44909,32.54457,21.73833
t_min,9,19.1725,18.65029,24.15343,22.61273,32.06057,22.02556
t_min,10,19.07917,18.926,24.18514,22.49394,31.796,22.35722
t_min,11,19.02111,18.98943,24.19543,22.61152,31.92829,22.6175
t_min,12,19.00583,18.78943,24.03029,22.59818,32.40771,22.69667
prec,1,92.90556,51.88857,12.63143,74.94242,22.63,8.388889
prec,2,109.62778,67.45143,6.74,96.76061,22.82943,42.730556
prec,3,141.76944,94.13714,18.83429,172.99091,23.50257,97.894444
prec,4,227.61111,150.34571,86.50571,181.10303,24.11086,271.744444
prec,5,219.13611,138.98286,170.52,206.38788,24.16314,378.75
prec,6,111.25278,85.12286,147.00286,100.39091,23.82886,316.830556
prec,7,69.29167,76.64857,173.82857,62.86364,23.678,345.886111
prec,8,75.39444,72.73143,190.07143,68.38182,23.60943,283.263889
prec,9,143.71389,103.00286,189.11143,171.62727,23.52714,272.266667
prec,10,203.67778,125.32857,194.68286,185.53939,23.66314,259.325
prec,11,170.73611,105.22857,140.75429,138.24848,23.414,144.855556
prec,12,117.51944,62.21143,52.53429,114.6,23.03657,29.105556
sol_rad,1,17.71944,15.94514,18.87971,18.72,19.21429,19.75472
sol_rad,2,17.58722,16.508,19.04086,18.76667,19.19543,19.32
sol_rad,3,17.1075,17.00686,18.51886,18.52394,18.06314,17.80361
sol_rad,4,17.00194,16.05629,17.50657,18.04485,16.68343,16.53194
sol_rad,5,17.08694,15.52914,16.22257,17.99364,16.18486,16.10444
sol_rad,6,17.5675,15.49171,16.33371,17.91636,16.69857,15.31444
sol_rad,7,18.59889,17.32457,17.57857,18.90182,17.97571,15.39
sol_rad,8,19.35972,18.11171,17.52371,19.85,17.77457,16.41194
sol_rad,9,19.38417,16.86171,16.29857,19.49758,16.71429,17.59111
sol_rad,10,17.75389,15.69629,15.50686,18.55,16.35057,17.705
sol_rad,11,16.21167,15.06171,15.84429,17.62576,16.66543,17.69861
sol_rad,12,16.69194,14.84171,17.03914,17.62788,17.21829,19.05028
