origin,IDEAM,,,,,,,,
longitude,-73.04761111,-72.66588889,-72.54405556,-72.45861111,-72.75036111,-72.55088889,-72.3875,-71.72805556,-72.10647222
latitude,4.904944444,4.937361111,5.009527778,5.097666667,5.020805556,5.179333333,5.320444444,5.4205,5.733333333
ext_id,35090040,35180010,35190040,35190070,35195020,35195030,35215010,35230010,35230030
municipality,Sabanalarga,Tauramena,Aguazul,Aguazul,Tauramena,Aguazul,Yopal,San Luis De Palenque,Tamara
name,Reventonera,PraderaLa,Tamarindo,SanJose,Tauramena,Aguazul,AptoYopal,SanLuisPalenque,TablondeTamara
