origin,IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude,-76.53377778,-76.34597222,-76.21069444,-76.25027778,-76.23861111,-76.31502778,-76.38558333,-76.42977778,-76.35080556,-76.33197222,-76.29952778,-76.14802778,-75.96580556,-76.01880556,-76.07375,-75.96155556,-76.03316667,-76.22311111,-76.16805556,-76.19047222,-75.9865,-76.03569444,-76.10058333,-76.09361111,-76.03438889,-76.06216667,-75.87536111
latitude,3.378,3.320444444,3.527194444,3.459805556,3.328027778,3.513388889,3.533333333,3.698527778,3.890888889,3.770138889,3.835194444,4.223861111,4.588611111,4.306888889,4.382666667,4.688416667,4.238972222,4.090388889,4.028694444,4.342944444,4.793833333,4.684888889,4.418666667,4.531611111,4.616666667,4.531277778,4.410222222
ext_id,26055070,26060020,26070110,26070170,26070760,26075010,26075040,26080070,26080290,26090630,26095230,26100070,26100300,26100400,26100780,26100830,26105150,26105160,26105230,26110040,26110150,26110160,26110230,26110290,26110300,26115040,26120180
municipality,Cali,Candelaria,Palmira,Pradera,Florida,Palmira,Palmira,Vijes,Yotoco,Guacari,Guadalajara de Buga,Bugalagrande,Obando,Zarzal,Zarzal,Cartago,Bugalagrande,Tulua,Tulua,Bolivar,Ansermanuevo,Toro,Roldanillo,La Union,Toro,La Union,Sevilla
name,UnivdelValle,Cabuyal,ZapataLa,EsperanzaPradera,Florida,PalmiraIca,AptoABonilla,Vijes,MediacanoaAlertas,Guacari,VinculoEl,LucernaHda,Obando,AlcazarEl,Zarzal,Palmasola,SanMarcos,AptoFarfan,Mateguadua,Bolivar,InmaculadaLa,SanFrancisco,Isugu,ArboledaLa,Ceros,CentAdmoLaUnion,AlambradoElAlert
