origin,IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude,-76.2255,-75.9725,-75.85611111,-75.76669444,-75.90388889,-75.89138889,-75.93605556,-75.68841667,-75.74247222,-75.78625,-75.85611111,-75.69611111,-75.75352778,-75.75002778,-75.83177778,-75.76583333,-75.80216667,-75.62208333,-75.58222222,-75.80188889,-75.86152778,-75.95333333,-75.91327778,-75.84441667,-75.94930556,-75.82513889,-75.64722222,-75.44305556,-74.86777778,-75.33533333,-75.2705,-75.03416667,-75.1645,-75.39958333
latitude,9.072166667,8.659166667,8.555277778,8.47275,8.266111111,8.408,9.343,9.242444444,8.950611111,8.890333333,8.829916667,8.797222222,8.681944444,8.772777778,8.984444444,8.804722222,8.782527778,9.15075,8.913888889,8.839527778,8.793888889,8.935861111,9.301722222,9.252722222,9.370777778,8.825833333,8.006111111,8.937777778,8.340555556,8.04975,8.433888889,8.461388889,8.295194444,8.001111111
ext_id,12045020,13055030,13060010,13060020,13060030,13065020,13070010,13070020,13070040,13070050,13070070,13070090,13070110,13070170,13070180,13070190,13070280,13075010,13075020,13075030,13075050,13080010,13085010,13085020,13085030,13085040,25010110,25020140,25020480,25020700,25020710,25020780,25025150,25025160
municipality,Puerto Escondido,Monteria,Monteria,Monteria,Tierralta,Monteria,San Bernardo del Viento,Momil,Cerete,Cerete,Monteria,San Carlos,San Carlos,San Carlos,San Pelayo,San Carlos,Monteria,Chima,Cienaga de Oro,Cerete,Monteria,San Pelayo,Lorica,Lorica,San Bernardo del Viento,Monteria,Puerto Libertador,Sahagun,Ayapel,La Apartada,Pueblo Nuevo,Ayapel,Ayapel,Montelibano
name,CristoRey,Galan,SanAnterito,BuenosAires,Caramelo,Maracayo,LimonEl,Momil,Rabolargo,Cerete,BocadeLaCeiba,SanCarlos,Carrizal,BuenosAires1,Carrillo,Coroza2,Sabanal,Chima,SaladoEl,Turipana,UnivdeCordoba,SanAntonio,DoctrinaLa,Lorica,SanBernardodelV,AptoLosGarzones,AcaciasLasHda,Sahagun,PajarosLos,ApartadaLa,Cintura,Cecilia,Ayapel,CubaHda
